lat,lng,Avg. rating,Number of Records
38.842665,-122.739332,4.5,3
38.842665,-122.683754,4.5,3
38.842665,-122.572598,3.75,6
38.842665,-122.51702,3.75,6
38.842665,-122.183552,4.5,1
38.842665,-121.96124,3.2,5
38.842665,-121.905662,3.5,1
38.842665,-121.850084,3.5,1
38.842665,-121.738928,3.5,2
38.842665,-121.572194,5,1
38.842665,-121.516616,5,1
38.799167,-123.017222,3.5,20
38.799167,-122.628176,4.055555556,9
38.799167,-122.572598,3.916666667,12
38.799167,-122.51702,3.75,6
38.799167,-122.183552,4.5,1
38.799167,-121.905662,3.5,1
38.799167,-121.850084,3.5,1
38.799167,-121.738928,3.5,2
38.799167,-121.68335,3.5,2
38.799167,-121.516616,4.75,2
38.755669,-123.017222,3.473684211,19
38.755669,-122.906066,4,5
38.755669,-122.850488,3.25,2
38.755669,-122.628176,3.95,10
38.755669,-122.572598,3.916666667,12
38.755669,-122.51702,3.75,6
38.755669,-122.183552,3.388888889,9
38.755669,-122.127974,3.45,10
38.755669,-122.072396,4.5,1
38.755669,-122.016818,4.5,1
38.755669,-121.905662,3.5,1
38.755669,-121.850084,3.5,1
38.755669,-121.794506,3.25,2
38.755669,-121.738928,3.833333333,3
38.755669,-121.68335,3.5,2
38.755669,-121.516616,4.5,1
38.712171,-122.906066,4.071428571,7
38.712171,-122.850488,3.8,5
38.712171,-122.79491,4,1
38.712171,-122.628176,3.95,10
38.712171,-122.572598,4.083333333,6
38.712171,-122.183552,3.388888889,9
38.712171,-122.127974,3.45,10
38.712171,-122.072396,4.5,1
38.712171,-122.016818,4,5
38.712171,-121.96124,4.5,1
38.712171,-121.794506,4.01,50
38.712171,-121.738928,3.546511628,86
38.712171,-121.68335,3.25,4
38.712171,-121.627772,4,5
38.712171,-121.572194,4.125,4
38.712171,-121.516616,3.6,35
38.668673,-122.961644,3.5,1
38.668673,-122.906066,3.75,18
38.668673,-122.850488,3.6875,16
38.668673,-122.79491,4,1
38.668673,-122.072396,4.5,1
38.668673,-122.016818,4.166666667,6
38.668673,-121.96124,4.75,2
38.668673,-121.794506,3.677777778,90
38.668673,-121.738928,3.546511628,86
38.668673,-121.68335,3.25,4
38.668673,-121.627772,4,5
38.668673,-121.572194,3.392857143,14
38.668673,-121.516616,3.367816092,174
