lat,lng,Avg. rating,Number of Records
38.842665,-121.516616,5,1
38.799167,-121.516616,4.75,2
38.755669,-121.516616,4.5,1
38.712171,-121.516616,3.810344828,29
38.668673,-121.516616,3.91509434,106
38.625175,-121.516616,3.968201754,456
38.581677,-121.516616,3.988933602,497
38.538179,-121.516616,3.974725275,455
38.494681,-121.516616,3.882978723,94
38.451183,-121.516616,3.914893617,47
38.407685,-121.516616,4,22
38.320689,-121.516616,4.5,1
38.277191,-121.516616,3.944444444,9
38.233693,-121.516616,3.944444444,9
38.190195,-121.516616,3.75,6
37.929207,-121.516616,3.5,1
37.885709,-121.516616,3.5,1
37.842211,-121.516616,4.25,2
37.798713,-121.516616,4.25,2
37.711717,-121.516616,3.5,1
37.407231,-121.516616,4.5,1
37.363733,-121.516616,4.5,1
37.102745,-121.516616,5,1
37.059247,-121.516616,4.166666667,6
37.015749,-121.516616,3.875,16
36.972251,-121.516616,3.8,15
36.928753,-121.516616,4.5,1
38.842665,-121.572194,5,1
38.712171,-121.572194,4.125,4
38.668673,-121.572194,3.888888889,9
38.625175,-121.572194,4.019230769,52
38.581677,-121.572194,3.625,8
38.538179,-121.572194,3.9921875,64
38.494681,-121.572194,3.833333333,15
38.451183,-121.572194,3.888888889,9
38.407685,-121.572194,4,2
38.364187,-121.572194,4.5,3
38.320689,-121.572194,4.75,2
38.277191,-121.572194,4.75,2
38.190195,-121.572194,4.2,5
38.146697,-121.572194,4.071428571,7
38.103199,-121.572194,3.75,2
38.059701,-121.572194,3.625,4
38.016203,-121.572194,3.5,2
37.972705,-121.572194,3.5,3
37.929207,-121.572194,4.25,4
37.885709,-121.572194,4.25,4
37.842211,-121.572194,5,1
37.798713,-121.572194,5,1
37.755215,-121.572194,5,1
37.146243,-121.572194,5,1
37.102745,-121.572194,4.5,7
37.059247,-121.572194,4.026315789,57
37.015749,-121.572194,3.949275362,69
36.972251,-121.572194,3.9140625,64
36.928753,-121.572194,4.5,1
38.712171,-121.627772,4,5
38.668673,-121.627772,4,5
38.625175,-121.627772,4,3
38.190195,-121.627772,4.25,6
38.146697,-121.627772,4.142857143,7
38.103199,-121.627772,3.5,1
38.059701,-121.627772,3.888888889,9
38.016203,-121.627772,4.055555556,9
37.972705,-121.627772,4,9
37.929207,-121.627772,4.15,10
37.885709,-121.627772,4.045454545,11
37.842211,-121.627772,3.928571429,7
37.798713,-121.627772,4,1
37.189741,-121.627772,3.8125,8
37.146243,-121.627772,3.964285714,70
37.102745,-121.627772,3.993421053,76
37.059247,-121.627772,4.027777778,36
37.015749,-121.627772,4.117647059,17
36.972251,-121.627772,4,14
36.928753,-121.627772,4,1
38.799167,-121.68335,4.5,1
38.755669,-121.68335,4.5,1
38.712171,-121.68335,4,2
38.668673,-121.68335,4,2
38.625175,-121.68335,4,2
38.581677,-121.68335,3.9,15
38.538179,-121.68335,3.9,15
38.494681,-121.68335,3.8125,8
